# Program:featureCounts v2.0.0; Command:"featureCounts" "-t" "miRNA_primary_transcript" "-g" "Name" "-a" "dme_dm6.gff3" "-o" "Dmel_miRNA_expression.tab" "SRR016854_t.sam" "SRR018039_t.sam" "SRR069836_t.sam" "SRR069837_t.sam" 
Geneid	Chr	Start	End	Strand	Length	SRR016854_t.sam	SRR018039_t.sam	SRR069836_t.sam	SRR069837_t.sam
dme_114	chr3L	2114946	2115055	-	110	7	0	0	2
dme_120	chr3L	27362742	27362849	+	108	1	0	0	0
dme_136	chr3R	26989758	26989877	-	120	1	0	0	0
dme_138	chr3R	14031706	14031807	-	102	0	0	0	0
dme_146	chr3L	23228873	23228976	+	104	0	0	0	0
dme_149	chr3L	25964977	25965110	-	134	0	0	0	0
dme_155	chr2L	13245358	13245483	+	126	0	0	0	0
dme_160	chr3R	28993665	28993800	-	136	9	1	1	1
dme_164	chr3R	10391468	10391607	+	140	1	0	0	0
dme_165	chrX	6620059	6620166	+	108	0	0	0	0
dme_166	chr3R	25587531	25587632	-	102	0	0	0	0
dme_167	chr3L	7024183	7024288	+	106	0	0	0	0
dme_173	chr4	725337	725442	+	106	0	1	0	0
dme_179	chrX	10118080	10118195	+	116	0	0	0	0
dme_188	chr2L	15927814	15927917	-	104	0	0	0	0
dme_194	chrX	8081723	8081826	+	104	0	0	0	0
dme_196	chr3R	25417564	25417669	-	106	0	0	0	0
dme_198	chr3L	20251476	20251583	+	108	0	0	0	0
dme_199	chr2L	11000386	11000487	-	102	0	0	0	0
dme_223	chr2L	6722943	6723052	-	110	4	2	1	0
dme_228	chrX	17494818	17494929	+	112	0	0	0	0
dme_231	chrX	1378428	1378527	+	100	1	2	1	1
dme_232	chr2L	5056074	5056197	+	124	1	1	1	1
dme_233	chrX	7634908	7635025	-	118	0	0	0	0
dme_234	chr3R	12593950	12594053	-	104	1	0	0	0
dme_235	chr2R	15692338	15692447	-	110	0	0	0	0
dme_236	chr2R	11988540	11988647	-	108	0	0	0	0
dme_237	chr2R	14620001	14620124	+	124	0	0	0	0
dme_239	chr3L	2490841	2490950	+	110	0	0	0	0
dme_245	chr3L	13020514	13020623	-	110	1	0	1	0
dme_246	chr2L	20890032	20890157	-	126	0	0	0	0
dme_249	chr2L	7850673	7850784	+	112	0	0	0	0
dme_250	chr3R	18063492	18063599	+	108	0	0	0	0
dme_251	chrX	20030732	20030841	+	110	0	0	0	0
dme_252	chr3L	16611690	16611793	-	104	2	2	0	0
dme_255	chr2R	9257870	9257981	-	112	0	0	0	0
